age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1398,1.046,NaN,NaN,-0.56,0.1,-1.22
1399,1.038,NaN,NaN,-0.53,0.13,-1.2
1400,1.016,NaN,NaN,-0.51,0.15,-1.17
1401,1.045,NaN,NaN,-0.49,0.17,-1.16
1402,1.053,NaN,NaN,-0.48,0.18,-1.14
1403,0.98,NaN,NaN,-0.48,0.18,-1.14
1404,1.017,NaN,NaN,-0.49,0.17,-1.15
1405,0.994,NaN,NaN,-0.51,0.15,-1.17
1406,1.112,NaN,NaN,-0.55,0.12,-1.21
1407,1.002,NaN,NaN,-0.59,0.07,-1.25
1408,1.048,NaN,NaN,-0.65,0.01,-1.31
1409,1.045,NaN,NaN,-0.72,-0.05,-1.38
1410,1.07,NaN,NaN,-0.79,-0.13,-1.46
1411,0.995,NaN,NaN,-0.88,-0.21,-1.54
1412,0.961,NaN,NaN,-0.96,-0.3,-1.62
1413,1.047,NaN,NaN,-1.04,-0.38,-1.71
1414,0.915,NaN,NaN,-1.13,-0.46,-1.79
1415,1.002,NaN,NaN,-1.2,-0.54,-1.87
1416,0.922,NaN,NaN,-1.27,-0.61,-1.93
1417,0.921,NaN,NaN,-1.33,-0.67,-1.99
1418,0.935,NaN,NaN,-1.38,-0.71,-2.04
1419,0.915,NaN,NaN,-1.41,-0.75,-2.07
1420,0.978,NaN,NaN,-1.43,-0.77,-2.09
1421,1.022,NaN,NaN,-1.44,-0.78,-2.11
1422,1.005,NaN,NaN,-1.44,-0.78,-2.11
1423,0.806,NaN,NaN,-1.44,-0.77,-2.1
1424,1.044,NaN,NaN,-1.42,-0.76,-2.09
1425,1.037,NaN,NaN,-1.41,-0.74,-2.07
1426,0.954,NaN,NaN,-1.39,-0.73,-2.05
1427,0.974,NaN,NaN,-1.38,-0.71,-2.04
1428,1.051,NaN,NaN,-1.37,-0.7,-2.03
1429,0.859,NaN,NaN,-1.36,-0.7,-2.03
1430,0.966,NaN,NaN,-1.36,-0.7,-2.03
1431,1.043,NaN,NaN,-1.38,-0.71,-2.04
1432,1.096,NaN,NaN,-1.39,-0.73,-2.06
