D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
"annual temperatures, plus Northern Hemisphere land-only extratropical (20-90N)",,,
"instrumental temperature data, expressed as anomalies in degrees Celsius ",,,
from the 1961-1990AD mean.,,,
,,,
,,,
Year AD,NH Land20-90,STD recon,RCS recon
1397,,-0.42,-0.62
1398,,-0.41,-0.64
1399,,-0.46,-0.63
1400,,-0.46,-0.57
1401,,-0.47,-0.68
1402,,-0.48,-0.74
1403,,-0.35,-0.56
1404,,-0.33,-0.48
1405,,-0.21,-0.43
1406,,-0.28,-0.41
1407,,-0.3,-0.53
1408,,-0.31,-0.5
1409,,-0.04,-0.3
1410,,-0.15,-0.4
1411,,-0.1,-0.34
1412,,-0.39,-0.49
1413,,-0.11,-0.33
1414,,-0.26,-0.53
1415,,-0.26,-0.52
1416,,-0.43,-0.6
1417,,-0.14,-0.35
1418,,-0.1,-0.31
1419,,-0.29,-0.42
1420,,-0.36,-0.46
1421,,-0.37,-0.51
1422,,-0.43,-0.59
1423,,-0.43,-0.55
1424,,-0.02,-0.23
1425,,-0.29,-0.51
1426,,-0.14,-0.41
1427,,-0.07,-0.36
1428,,-0.2,-0.47
1429,,-0.25,-0.53
1430,,-0.15,-0.36
1431,,-0.07,-0.28
1432,,-0.28,-0.4
1433,,-0.16,-0.31
1434,,0.08,-0.1
1435,,-0.27,-0.46
1436,,-0.16,-0.44
1437,,-0.14,-0.33
1438,,-0.29,-0.52
1439,,-0.27,-0.45
1440,,-0.29,-0.43
1441,,-0.24,-0.48
1442,,-0.29,-0.47
1443,,-0.34,-0.31
1444,,-0.32,-0.47
1445,,-0.24,-0.4
1446,,-0.35,-0.5
1447,,-0.36,-0.47
1448,,-0.43,-0.52
1449,,-0.49,-0.66
1450,,-0.37,-0.55
1451,,-0.47,-0.67
1452,,-0.58,-0.77
1453,,-0.74,-0.87
1454,,-0.58,-0.77
1455,,-0.81,-0.94
1456,,-0.82,-0.96
1457,,-0.76,-0.93
1458,,-0.53,-0.71
1459,,-0.78,-0.95
1460,,-0.55,-0.78
1461,,-0.6,-0.83
1462,,-0.67,-0.83
1463,,-0.82,-0.94
1464,,-0.7,-0.93
1465,,-0.69,-0.89
1466,,-0.9,-1.08
1467,,-0.62,-0.85
1468,,-0.89,-1.1
1469,,-0.62,-0.8
1470,,-0.53,-0.7
1471,,-0.46,-0.77
1472,,-0.67,-0.92
1473,,-0.53,-0.81
1474,,-0.51,-0.69
1475,,-0.38,-0.69
1476,,-0.43,-0.64
1477,,-0.61,-0.77
1478,,-0.46,-0.68
1479,,-0.65,-0.8
1480,,-0.45,-0.6
1481,,-0.69,-0.91
1482,,-0.43,-0.63
1483,,-0.48,-0.68
1484,,-0.54,-0.75
1485,,-0.48,-0.63
1486,,-0.4,-0.62
1487,,-0.45,-0.7
1488,,-0.33,-0.62
1489,,-0.4,-0.63
1490,,-0.15,-0.49
1491,,-0.36,-0.65
1492,,-0.32,-0.62
1493,,-0.39,-0.59
1494,,-0.49,-0.67
1495,,-0.64,-0.89
1496,,-0.19,-0.57
1497,,-0.43,-0.78
1498,,-0.43,-0.72
1499,,-0.25,-0.55
1500,,-0.19,-0.47
1501,,-0.13,-0.42
1502,,-0.33,-0.55
1503,,-0.6,-0.72
1504,,-0.33,-0.49
1505,,-0.2,-0.45
1506,,-0.23,-0.46
1507,,-0.07,-0.36
1508,,-0.1,-0.38
1509,,-0.38,-0.67
1510,,-0.08,-0.39
1511,,-0.43,-0.63
1512,,-0.19,-0.47
1513,,-0.34,-0.61
1514,,-0.47,-0.65
1515,,-0.42,-0.59
1516,,-0.58,-0.74
1517,,-0.66,-0.75
1518,,-0.55,-0.73
1519,,-0.38,-0.63
1520,,-0.61,-0.79
1521,,-0.35,-0.57
1522,,-0.65,-0.86
1523,,-0.55,-0.77
1524,,-0.6,-0.8
1525,,-0.52,-0.73
1526,,-0.45,-0.74
1527,,-0.4,-0.67
1528,,-0.43,-0.77
1529,,-0.59,-0.84
1530,,-0.32,-0.66
1531,,-0.58,-0.79
1532,,-0.59,-0.78
1533,,-0.54,-0.73
1534,,-0.54,-0.81
